"sex","age","n1","n2","n3","n4","n5","n6","n7","n8","n9","n10","n11","n12","n13","n14","n15","n16","n17","n18","n19","n20","n21","n22","n23","n24","n25","n26","n27","n28","n29","n30","n31","n32","n33","n34","n35","n36","n37","n38","n39","n40","n41","n42","n43","n44","n45","n46","n47","n48","n49","n50","n51","n52","n53","n54","n55","n56","n57","n58","n59","n60","neurotiz","extraver","offenhei","verträgl","gewissen"
0,20,3,1,3,3,1,2,2,4,4,0,0,1,2,3,2,4,3,3,1,1,2,1,4,1,1,1,1,1,2,0,2,1,3,3,1,2,1,4,3,1,2,1,4,2,1,3,1,4,3,1,3,1,3,2,3,3,0,3,4,3,30,14,38,31,15
1,29,1,1,2,4,3,3,2,0,4,2,3,1,3,4,1,1,2,4,4,4,4,1,1,1,3,2,1,4,0,1,1,1,3,3,3,1,2,4,4,4,3,2,4,3,4,2,1,0,4,3,1,1,3,3,4,0,0,3,3,3,28,15,31,37,35
1,23,2,1,1,1,3,1,3,4,2,3,2,1,0,1,3,3,3,3,2,4,1,0,0,1,3,2,1,4,2,1,1,1,3,2,2,1,2,4,1,3,2,0,4,1,3,1,1,4,1,2,2,2,3,0,3,2,1,4,0,3,23,16,34,14,33
1,34,3,1,3,4,3,1,3,4,4,0,3,1,3,2,3,3,3,3,3,3,3,1,1,3,3,4,1,4,3,1,3,1,2,2,3,2,2,3,3,3,3,0,3,1,1,3,1,4,3,1,1,1,4,4,3,3,2,4,4,3,39,17,38,36,27
0,26,3,2,3,2,2,3,1,3,3,1,3,1,3,2,1,3,2,4,3,4,2,1,3,2,2,2,2,3,1,2,3,2,3,2,2,2,1,4,3,3,2,1,3,3,2,3,2,3,4,3,3,2,3,1,3,2,2,3,4,3,35,19,38,30,28
1,25,1,2,2,2,2,1,2,3,3,2,1,3,2,3,1,2,1,3,3,2,1,1,3,3,1,2,1,1,2,1,3,2,3,3,2,1,2,3,2,1,1,1,3,3,1,1,1,3,2,1,1,2,3,1,3,2,1,3,3,1,20,19,32,30,18
1,30,1,2,3,3,1,1,3,3,2,1,2,1,2,1,1,3,2,3,3,3,3,1,3,1,1,3,1,3,1,1,2,1,3,3,3,1,1,4,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,1,3,3,1,3,1,3,32,20,36,23,24
1,26,1,1,4,3,2,2,4,4,4,2,0,2,3,3,3,3,2,4,3,2,1,2,1,2,1,1,1,3,1,1,3,1,3,3,2,1,1,4,3,3,1,1,4,2,2,3,1,4,2,2,1,1,3,3,1,3,3,4,1,1,22,20,41,30,22
1,23,0,1,2,3,1,0,3,3,4,3,2,3,1,4,3,0,3,0,0,4,0,0,2,2,2,0,1,4,1,0,0,0,4,3,2,1,4,3,3,3,2,1,3,2,3,0,0,4,3,2,0,3,2,0,3,2,1,2,3,1,7,20,30,28,27
0,23,1,1,3,2,3,2,2,4,3,1,3,2,2,2,3,2,3,2,3,4,3,2,0,2,2,1,1,2,1,2,3,2,3,2,3,2,1,4,1,3,3,2,1,3,4,2,2,4,2,2,0,2,2,2,3,4,0,4,2,3,30,20,31,25,33
